Pollutant,CNN,CNN + Attention,RNN,RNN + Attention,GRU,GRU + Attention,LSTM,LSTM + Attention,ResNet,ResNet + Attention,ReXNet,ReXNet + Attention,SARIMA
PM2.5,62.25,68.14,62.14,72.41,73.71,74.91,59.78,70.33,32.21,39.60,57.84,37.99,81.56
PM10,72.54,72.44,77.78,77.90,77.34,77.84,75.12,78.83,63.14,74.30,66.01,62.45,
SO2,73.25,60.81,86.28,89.97,81.72,88.41,73.03,80.69,54.48,61.33,69.98,43.22,
CO,72.34,74.53,72.94,80.59,81.76,80.53,80.37,72.93,64.64,81.63,29.43,62.60,
O3,68.61,70.24,57.77,89.88,78.99,86.72,85.70,82.28,82.41,86.33,67.58,69.74,
NO2,39.80,29.84,61.50,77.75,64.94,79.72,76.26,73.11,0.00,51.62,0.00,0.00,
