Pollutant,CNN,CNN + Attention,RNN,RNN + Attention,GRU,GRU + Attention,LSTM,LSTM + Attention,ResNet,ResNet + Attention,ReXNet,ReXNet + Attention,SARIMA
PM2.5,61.60,52.66,47.86,69.48,62.80,77.74,57.30,61.38,67.70,62.76,0.00,35.57,81.56
PM10,75.41,76.48,77.23,78.83,78.51,79.17,77.42,74.55,73.40,76.04,38.70,57.82,
SO2,65.18,68.14,80.77,88.91,78.71,86.77,71.94,75.62,55.80,69.25,48.44,51.61,
CO,80.38,75.14,72.01,76.92,82.09,82.13,80.63,81.90,78.40,73.56,16.91,57.52,
O3,62.89,77.32,75.83,86.57,79.66,83.06,85.02,85.02,61.34,85.56,47.11,57.86,
NO2,35.37,70.10,45.12,79.19,52.98,41.12,80.26,77.05,0.00,0.00,0.00,0.00,
