Waktu;PM10;PM2.5;SO2;CO;O3;NO2;HC
01/01/2022;13.71;-;6.9;1312.46;3.15;17,00;6.23
02/01/2022;9.08;-;9.13;1328.58;2.5;17.17;6.92
03/01/2022;13.63;-;7.94;1360.83;2.47;16.17;4.94
04/01/2022;25.07;-;11.26;1765.67;1,00;16.48;7.22
05/01/2022;3.5;2,00;9.2;1278.13;3,00;12.16;1.72
06/01/2022;-;-;2.65;875.21;-;9.15;2.73
07/01/2022;-;-;26.96;535.69;-;9.63;2.43
08/01/2022;-;-;23.29;986.67;-;15.4;3.81
09/01/2022;-;-;16.58;1304.73;-;17.46;4.71
10/01/2022;-;-;16.46;1491.85;-;18.83;4.94
11/01/2022;-;-;13.71;1489.69;1,00;17.75;5,00
12/01/2022;-;-;12.29;1646.92;-;18.35;6.63
13/01/2022;23.81;-;17.23;1865.35;-;20.25;5.32
14/01/2022;24.79;-;15.81;1688.81;1.89;18.67;3.2
15/01/2022;34.23;-;11.42;1703.33;-;20.9;4.54
16/01/2022;29.13;-;16.38;1823.46;-;21.83;5.15
17/01/2022;36.94;-;17.02;1843.33;8.08;23.08;5.54
18/01/2022;17.52;-;12.04;1580.98;8.48;20.48;5.09
19/01/2022;33.96;-;7.29;1387.19;20.5;20.88;6.15
20/01/2022;16.27;3.84;12.98;1680.35;14.85;22.19;5.96
21/01/2022;9.56;5.08;11.4;1683.85;12.71;18.6;3,00
22/01/2022;8.29;5.11;4.67;1296.42;9.08;16.65;5.04
23/01/2022;7.9;4.19;4.25;1245.27;8.83;16.58;5.48
24/01/2022;9.13;5.15;5.83;1258.25;13.71;16.06;4.44
25/01/2022;10.67;6.29;2.11;1150.31;23.13;14.96;3.85
26/01/2022;17.4;10.44;9.25;1785.19;10.77;17.4;6.85
27/01/2022;12.27;7.44;7.35;1572.25;7,00;18,00;8.08
28/01/2022;14.98;9.33;8.23;1622.94;5.65;17.73;7.52
29/01/2022;25.17;16.63;5.65;1554.23;5.65;19.29;5,00
30/01/2022;18.15;11.85;4.52;1387.81;6.71;18.98;5.46
31/01/2022;20.19;13.21;7.9;1585.08;4.92;18.35;4.85
01/02/2022;32.95;22.15;4.97;1571.79;3.41;18.21;4.92
02/02/2022;24.64;16.27;20.75;2464,00;3.3;26.17;3,00
03/02/2022;32.5;19.88;9.75;1693.88;1.5;24.75;-
04/02/2022;18.5;10.92;6.33;1679.25;2.44;20.92;-
05/02/2022;-;-;-;-;-;-;-
06/02/2022;-;-;-;-;-;-;-
07/02/2022;17,00;12,00;7,00;1566,00;1,00;23,00;-
08/02/2022;20.92;13.58;21.83;2413.42;1.36;25.33;-
09/02/2022;27,00;17.58;13.5;1756.08;1.92;23,00;-
10/02/2022;32.5;21.45;15.1;1857.4;1.2;24.4;-
11/02/2022;16.42;10.17;8.67;1651.75;2,00;17.75;-
12/02/2022;-;-;-;-;-;-;-
13/02/2022;-;-;-;-;-;-;-
14/02/2022;5.62;4.08;;3037.88;-;45.46;5,00
15/02/2022;3.83;2.79;;3036.75;-;43.48;5,00
16/02/2022;6.56;4.38;17.67;2528.52;58.11;28.71;5,00
17/02/2022;10.9;9.46;19.27;1544.58;56.79;5.25;5,00
18/02/2022;7.79;11.42;21.92;1721,00;48.85;3.52;5,00
19/02/2022;12.04;18.29;20.96;1805.77;50.81;5.27;5,00
