Waktu;PM10;PM2.5;SO2;CO;O3;NO2;HC
20/02/2022;11.38;18.29;22.9;1819.27;45.56;6.02;5,00
21/02/2022;8.4;12.88;23.08;1759.75;45.69;5.29;5,00
22/02/2022;11.08;15.69;18.21;1689.5;50.6;3.83;5,00
23/02/2022;10.38;14.17;22.96;1806.91;33.6;3.09;5,00
24/02/2022;5.69;7.44;10.33;1257.46;55.4;3.1;5,00
25/02/2022;5.04;6.56;11.58;1294.02;61.23;2.52;5,00
26/02/2022;4.06;4.85;14.71;1531.44;56.58;2.88;5,00
27/02/2022;9.56;11.46;15.94;1553,00;50.67;3.04;5,00
28/02/2022;8.85;11.17;16.17;1479.98;42.31;3.15;5,00
01/03/2022;6.9;8.9;13.5;1273.04;45.27;2.81;5,00
02/03/2022;3.77;3.29;8.67;1159.33;56.42;2.6;5,00
03/03/2022;4.54;5.06;12.67;1353.71;53.04;2.48;5,00
04/03/2022;6.15;7.69;16.5;1594.27;44.19;2.62;5,00
05/03/2022;7.25;8.79;16.15;1579.38;35.25;2.69;5,00
06/03/2022;3.04;3.17;12.69;1237.85;43.92;2.21;5,00
07/03/2022;4.02;4.56;21.56;1611.96;35,00;2.67;5,00
08/03/2022;6.13;7.67;22.85;1732.58;25.88;2.75;5,00
09/03/2022;4.29;4.85;18.5;1585.92;34.54;2.98;5,00
10/03/2022;3.44;3.42;16.06;1439.73;41.06;3.33;5,00
11/03/2022;6.38;8.21;26.52;2070.63;28.98;3.54;5,00
12/03/2022;8.58;11.5;24.31;1931.4;28.81;3.77;5,00
13/03/2022;11.71;15.88;22.04;1721.5;23.17;4.13;5,00
14/03/2022;11.17;13.56;21.71;1707.31;24.17;3.72;5,00
15/03/2022;4.46;5.38;22,00;1682.08;28.65;2.85;5,00
16/03/2022;9.86;12.29;37.19;2271.05;13.86;3.52;5,00
17/03/2022;-;-;-;-;-;-;-
18/03/2022;7.68;9.97;20.45;1822.65;31.42;4.32;5,00
19/03/2022;6.9;9.58;19.77;1683.08;23.83;3.71;5,00
20/03/2022;3.88;4.92;12.17;1212,00;35.48;3.04;5,00
21/03/2022;5.17;6.67;23.42;1803.52;28.02;4.63;5.1
22/03/2022;8.54;12.56;24.02;1948.96;16.94;4.67;5,00
23/03/2022;8.77;11.94;17.67;1709.35;20.73;3.94;5,00
24/03/2022;9.38;13.6;23.1;1880.88;18.79;4.42;6.17
25/03/2022;12.85;20.15;33.17;2457.96;13.21;5.54;5,00
26/03/2022;9.33;14,00;20.83;1752.13;17.83;4.35;5,00
27/03/2022;11.02;15.4;21.48;1807.67;19,00;4.6;5,00
28/03/2022;10.98;16.19;21.6;1891.92;17.65;4.56;5,00
29/03/2022;11.9;19.25;21.9;1912.52;15.88;4.83;5,00
30/03/2022;14.04;29.42;28.23;2202,00;12.38;4.06;5,00
31/03/2022;7.38;14.58;16.27;1568.44;20.58;3.73;5,00
01/04/2022;7.27;12.54;18.15;1743.4;24.92;4.46;5,00
02/04/2022;7.17;14.15;24.77;2045.65;14.4;3.67;5,00
03/04/2022;8.77;18.56;27.96;2028,00;13.71;2.94;5,00
04/04/2022;4.77;8.54;17.06;1566.88;24.54;2.98;5,00
05/04/2022;4.29;7.08;16.1;1536.4;25.56;2.67;5,00
06/04/2022;4.29;7.48;19.4;1648.31;23.52;2.9;5,00
07/04/2022;5.23;10.06;19.65;1687.88;14.21;3.73;5,00
08/04/2022;5.94;12,00;22.94;1738.75;8.92;3.92;5,00
09/04/2022;6.15;12.67;23.56;1711.88;6.92;3.75;5,00
10/04/2022;8.19;16.6;32.48;2092.27;4.28;3.69;5,00
11/04/2022;8.46;18,00;37.63;2358.96;5.97;2.94;5,00
12/04/2022;10.17;19.79;20,00;1810,00;9.23;3.83;5,00
13/04/2022;10.29;18.58;18.98;1761.33;13.19;4.29;5.02
14/04/2022;14.63;27.69;13.71;1602.4;19.92;3.81;5,00
15/04/2022;14.85;28.56;16.04;1668.31;20.79;4.46;5.02
16/04/2022;16.04;31.02;23.54;1994.23;14.5;5.96;5,00
17/04/2022;13.5;26.23;31.71;2138.56;6.22;4.23;5,00
18/04/2022;13,00;25.52;24.69;1833.6;6.83;6.23;5,00
19/04/2022;9.36;17.25;20.84;1785,00;8.41;3.61;5,00
20/04/2022;9.1;17.6;17.44;1672.79;13.5;3.96;5,00
21/04/2022;6.67;12.67;15.67;1585.67;12.33;3.33;5,00
22/04/2022;10.62;20.14;29.62;2336.34;8.48;5.48;5,00
23/04/2022;14.1;25.83;24.38;1967.25;7.06;5.19;5,00
24/04/2022;14.08;27.48;28.9;2132.52;5.94;5.13;5,00
25/04/2022;7.13;12.96;25.31;1892.44;6.42;5,00;5,00
26/04/2022;30.65;39.35;38.23;2599.67;5.53;4.79;6.15
27/04/2022;36.17;30.65;32.1;2177.35;3.29;5.17;5,00
28/04/2022;36.88;31.65;21.27;1855.38;7.6;4.19;5,00
29/04/2022;31.13;26.54;22.6;1946.85;5.67;5.21;5,00
30/04/2022;33.96;28.81;27.1;2044.54;4.88;5.63;5,00
01/05/2022;23.06;19.44;24.1;1914.15;6.29;4.46;5,00
02/05/2022;24.73;20.98;19.27;1740.6;6.77;3.69;5,00
03/05/2022;21.08;17.69;13.83;1439.5;7.69;3.81;5,00
04/05/2022;16.58;14,00;14.15;1458.98;8.88;3.85;5,00
05/05/2022;24.19;20.27;16.88;1817.08;6.02;4.83;5,00
06/05/2022;27.15;23,00;23.23;2083.21;3.29;3.96;5,00
07/05/2022;24.63;20.73;33.06;2424.04;2.19;4.9;5,00
08/05/2022;22.44;18.96;23.54;1834.79;2.23;4.38;5,00
09/05/2022;21.69;18.17;30.27;2273.79;2.83;4.48;5,00
10/05/2022;29.31;24.73;21.71;1879.94;3.33;4.06;5,00
11/05/2022;38,00;32.25;23.85;1922.04;1.87;4.83;5,00
12/05/2022;19.73;16.71;13.58;1443.73;6.1;3.75;5,00
13/05/2022;13.31;11.23;11.35;1501.31;8.06;3.13;5,00
14/05/2022;15.75;13.25;14.5;1630.29;4.54;3.71;5,00
15/05/2022;21.63;19.19;20.65;1465.31;12.71;2.85;21.05
16/05/2022;23.23;19.79;26.17;1377.48;20.65;2.44;34.69
17/05/2022;18.83;17.81;30.38;1615.44;12.54;2.83;29.26
18/05/2022;29.44;29.73;32.23;1957.98;4.67;6.34;29.67
19/05/2022;13.65;13.69;26.5;1657.65;1.33;6.96;57.2
20/05/2022;17.6;17.98;-;1725.15;1.33;5.31;86,00
21/05/2022;13.13;13.17;-;1501.38;2.23;4.58;33.83
22/05/2022;18.96;18.9;-;1658.44;3.21;5.65;31.4
23/05/2022;34.08;34.6;-;2009.85;2.92;5.9;29.09
24/05/2022;27.83;27.6;-;1722.75;5.1;5.21;37.43
25/05/2022;25.46;25.48;-;2216.54;4.17;8.23;40.58
26/05/2022;24.02;24.67;-;1764.6;2.96;5.94;10.25
27/05/2022;10.92;10.56;-;1837.25;4.82;4.68;28.5
28/05/2022;23.33;23.83;-;1763.19;1.06;1.12;71.5
29/05/2022;28.71;29.31;-;1988.58;1.29;2.5;-
30/05/2022;29.06;29.67;-;1739.79;12.59;2.45;-
31/05/2022;29.38;29.98;-;1778.35;21.13;3.94;-
01/06/2022;10.96;10.88;-;1530.54;35.77;4.38;-
02/06/2022;16.98;16.69;-;2011.5;13.29;4.81;-
03/06/2022;10.4;10.23;-;1968.94;15.54;5.27;-
04/06/2022;20.98;21.02;-;2280.33;3.7;4.85;-
05/06/2022;17,00;16.85;-;1575.44;6.08;5.9;-
06/06/2022;32.04;33.08;-;2369.67;2.57;5.02;-
07/06/2022;38.69;39.5;-;2140.71;5.1;5.6;-
08/06/2022;30.5;31.21;-;1926.27;7.81;7.56;-
09/06/2022;21.35;21.8;-;1977.37;9.17;6.48;-
10/06/2022;40.06;40.92;-;1842.56;11.02;6.23;-
11/06/2022;37.33;38.17;-;2141.19;9.83;8.04;-
12/06/2022;18.69;19.17;-;1702.69;1.62;7.33;-
13/06/2022;22.04;22.35;-;2087.44;1.83;6.29;-
14/06/2022;27.52;28.15;-;2398.56;1.13;6.52;-
15/06/2022;27.22;27.52;-;1816.96;1.86;4.87;-
16/06/2022;37.17;37.9;-;1930.4;1,00;5.23;-
17/06/2022;25.54;26.17;-;1979.85;1.57;5.4;-
18/06/2022;19.25;19.52;-;1936.23;1.31;6.35;-
19/06/2022;22.06;22.25;-;1759.06;1,00;6.17;-
20/06/2022;25.92;25.75;-;1874.69;7,00;5.15;-
21/06/2022;24.48;24.33;-;1811.29;1,00;5.63;-
22/06/2022;13.14;24.16;8.52;1542.09;1,00;5.35;-
23/06/2022;19,00;33.25;20.79;1906.11;1,00;6.39;-
24/06/2022;19.25;7.33;9.17;1552.06;1.91;5.81;-
25/06/2022;25.02;8.98;10.9;1636.94;1,00;6.4;-
26/06/2022;23.69;8.85;15.06;1770.17;1,00;7.23;-
27/06/2022;11.56;4.58;9.44;1428.13;1.67;5.15;-
28/06/2022;12.85;5.06;6.81;1416.9;1.04;5.4;-
29/06/2022;18.46;6.75;8.25;1579.08;1.71;6.85;-
30/06/2022;24.85;9.69;10.98;1668.96;1,00;7.31;-
01/07/2022;23.58;9.06;14.71;1790.27;6,00;6.38;-
02/07/2022;20.21;7.4;9.6;1598.65;-;5.25;-
03/07/2022;21.75;8.15;8.75;1447.23;1,00;5.06;-
04/07/2022;35.38;13,00;15.68;1814.58;4.5;6.63;-
05/07/2022;55.77;28.83;-;2064.1;12,00;7.44;-
06/07/2022;26.65;23.96;-;1719.06;-;6.02;-
07/07/2022;20.18;18.12;-;1684.21;15,00;5.82;-
08/07/2022;10.08;9,00;-;1447.5;7,00;5.63;-
09/07/2022;15.94;14.38;-;1351.65;1,00;5.6;-
10/07/2022;24.81;22.62;-;1603.91;-;5.83;-
11/07/2022;35.77;32.65;-;1909.4;17,00;5.94;-
12/07/2022;29.08;26.42;-;1773.69;1,00;5.35;-
13/07/2022;26.65;24.15;-;1732.71;1,00;6.31;-
14/07/2022;23.6;21.65;-;1661.73;7,00;5.5;-
15/07/2022;20.37;18.43;-;1571.57;-;5.2;-
16/07/2022;26.46;24.08;-;1779.23;-;6.33;-
17/07/2022;28.88;26.25;-;1592.81;-;5.63;-
18/07/2022;20.13;18.19;-;1569.56;-;6.33;-
19/07/2022;24.56;22.48;-;1646.08;4,00;5.5;-
20/07/2022;34.88;31.79;-;1758.33;-;6.56;-
21/07/2022;21.67;19.54;-;1528.77;-;7.23;-
22/07/2022;19.35;17.29;-;1740.63;6,00;6.44;-
23/07/2022;19.4;17.54;-;1392.46;-;4.9;-
24/07/2022;12.44;10.96;-;1220.33;-;5.54;-
25/07/2022;16.87;15.09;-;1577.7;3.5;6.6;-
26/07/2022;27.23;24.75;-;1654.96;-;7.85;-
27/07/2022;39.33;35.73;-;1840.06;-;7.58;-
28/07/2022;38.23;34.69;-;1873.44;-;7.71;-
29/07/2022;45.67;41.42;-;1866.63;4,00;6.63;-
30/07/2022;31.9;28.71;-;1469.52;-;6.13;-
31/07/2022;43.35;39.69;-;1569.38;-;8,00;-
01/08/2022;53.08;48.15;-;1929.27;1,00;9.71;-
02/08/2022;37.9;34.42;-;1776.71;-;8.73;-
03/08/2022;42.4;38.52;-;1797.55;7,00;6.19;-
04/08/2022;16.48;15.06;-;1377.56;-;5.13;-
05/08/2022;15.98;14.4;-;1537.79;6,00;5.19;-
06/08/2022;14.9;13.35;-;1368,00;-;4.25;-
07/08/2022;8.81;7.85;-;1296.42;-;4.44;-
08/08/2022;14.44;13.11;-;1700.59;-;5.07;-
09/08/2022;12.14;11,00;5.41;1408.41;-;3.77;-
10/08/2022;11.1;10.15;7.77;1394.13;-;4.1;-
11/08/2022;17.29;15.54;12.38;1628.54;-;4.54;-
12/08/2022;18,00;16.69;9.48;1539.02;7,00;4.94;-
13/08/2022;16.27;15.02;-;1439.38;-;5.52;-
14/08/2022;22.98;21.25;-;1776.83;-;5.58;-
15/08/2022;38.27;35.54;-;2089.85;4,00;5.85;-
16/08/2022;29.46;26.98;-;1803.83;-;5.29;-
17/08/2022;15.08;13.73;-;1521.1;-;5.5;-
18/08/2022;12.54;11.13;14.29;1431.5;-;6.33;-
19/08/2022;18.06;16.56;-;1492.79;9,00;5.5;-
20/08/2022;17.6;16.08;-;1334.13;-;5.15;-
21/08/2022;24.1;21.69;-;1431.65;1,00;6.77;-
22/08/2022;23.5;21.38;-;1629.71;11,00;6.06;-
23/08/2022;25.38;23.15;-;1670.79;-;7.23;-
24/08/2022;22.13;20.23;-;1590.65;-;8.21;-
25/08/2022;19.08;16.98;12.07;1590.69;-;8.94;-
26/08/2022;23.2;24.02;11,00;1524.14;36.94;12.1;-
27/08/2022;17.77;16.23;16,00;983.74;55.67;6.17;41.38
28/08/2022;12.77;11.4;10.43;838.79;53.69;7.55;30.71
29/08/2022;17.35;15.96;9.52;1053.63;34.44;5.65;11.91
30/08/2022;15.94;14.42;12.75;1248.73;41.46;5.67;21,00
31/08/2022;16.9;15.56;13.88;1236.35;43,00;4.46;20.65
01/09/2022;21.63;20.23;19.88;1404.38;45.42;4.29;23.35
02/09/2022;22.19;20.65;12.69;921,00;62.65;4.85;18.65
03/09/2022;17.17;15.77;12,00;901.9;63.31;3.98;16.77
04/09/2022;16.6;15.46;11.29;919.9;59.6;3.56;16.75
05/09/2022;19.88;18.44;12.48;979.25;64.29;4.58;18.06
06/09/2022;24.54;22.83;18.15;1294.13;65.85;5.65;21.25
07/09/2022;23.15;21.25;6.76;812.71;36.81;1.25;25.13
08/09/2022;17.83;16.48;13,00;924.27;24.48;1,00;26.23
09/09/2022;22.62;20.57;24.02;1272.43;17.28;1.08;16.1
10/09/2022;16.06;14.79;21.13;793.79;14.38;1,00;8.21
11/09/2022;16.79;15.42;25.73;743.04;15.19;1,00;8.27
12/09/2022;28.17;26.31;34.94;784.48;18.6;1,00;8.63
13/09/2022;18.38;16.81;32.59;736.94;24.08;5.41;5.58
14/09/2022;16,00;16.1;-;831.69;48.69;3.94;12.64
15/09/2022;16,00;12,00;-;729.94;69.58;4.04;13.35
16/09/2022;16,00;14.81;35.93;1122.04;71.65;5.06;19.31
17/09/2022;16,00;17.67;27.29;1053.88;63.67;4.56;17.63
18/09/2022;16,00;14.29;21.88;952.88;73,00;6.25;14.5
19/09/2022;16,00;10.63;-;-;-;-;12.17
20/09/2022;14.96;11.88;10.83;827.5;37.67;3.5;7.36
21/09/2022;14,00;13.46;-;-;-;-;13.56
22/09/2022;14,00;11.71;-;-;-;-;13.63
23/09/2022;14.79;12.75;24.67;1109.07;72.03;6.37;7.51
24/09/2022;12.77;11.52;22.85;975.38;63.81;4.38;9,00
25/09/2022;11.88;10.69;13.13;447,00;74.13;3.19;11.13
26/09/2022;11.96;10.5;13.98;656.4;71.94;3.4;11.81
27/09/2022;13.1;11.81;17.19;931.56;68.42;4.35;14.06
28/09/2022;15.48;13.96;14.69;824.17;64.04;3.85;13.08
29/09/2022;13.54;12.23;15.31;871.56;64.42;4.79;7.89
30/09/2022;11,00;15.33;14,00;1023.06;53.89;5.78;23.04
01/10/2022;11,00;10.21;-;-;-;-;22.27
02/10/2022;11,00;12.02;-;-;-;-;22.33
03/10/2022;6.8;5.42;26.31;1305.92;61.27;6.08;11.4
04/10/2022;1.22;-;18.79;1084.35;51.73;4.4;19.68
05/10/2022;1.31;-;21.23;1219.73;48.19;3.79;17.75
06/10/2022;1.11;-;21.04;1184.17;49.6;3.52;17.91
07/10/2022;4.57;-;13.33;1006.23;34.97;2.73;9.38
08/10/2022;6.15;-;-;-;-;-;14.19
09/10/2022;6.96;-;-;-;-;-;15.42
10/10/2022;12.13;-;29.12;1674.92;41.96;4.31;11.47
11/10/2022;11.27;-;18.1;1090.23;42.35;4.77;6.89
12/10/2022;11.54;-;17.83;1157.04;36.85;3.85;11.5
13/10/2022;7.58;-;12.46;866.79;43.08;3.42;16.47
14/10/2022;7.92;-;15.63;1123.48;40.06;4.79;9.04
15/10/2022;9.83;-;19.17;1166.42;39.1;3.31;13.44
16/10/2022;10.23;-;16.08;783.13;40.35;2.11;7.96
17/10/2022;6.98;-;17.46;1043.88;41.67;2.98;15.98
18/10/2022;12.21;-;28.77;1911.69;29.79;5.48;8.31
19/10/2022;14.19;-;22.48;1606.77;15.52;4.23;19.84
20/10/2022;4.96;-;12.11;1082.11;22.83;15.22;21.44
21/10/2022;7.34;-;8.15;831.85;14.77;11.08;32.38
22/10/2022;11.59;-;19.74;807.59;46.7;15.81;49.18
23/10/2022;14.38;-;16.75;849.69;41.77;12.69;51.74
24/10/2022;8.44;-;14.1;805.35;45.35;13.02;34.35
25/10/2022;6.21;-;15.02;948.04;42.56;12.46;7.98
26/10/2022;4.1;-;12.77;841.85;43.1;12.33;15.86
27/10/2022;8.92;-;12.5;824.77;44.73;12.9;15.08
28/10/2022;11.46;-;16.4;1177.04;45.94;16.44;16.02
29/10/2022;18,00;-;14.63;1233.5;36.46;17.25;15.96
30/10/2022;8.92;-;8.6;720.42;40.31;15.15;14.04
31/10/2022;9.75;-;10.42;915.44;43.25;17.42;15.91
01/11/2022;8.38;-;8,00;966.4;32.37;15.23;20.15
02/11/2022;11.27;-;14.71;844.36;42.32;14.39;11.57
03/11/2022;19.5;-;18.06;1297.31;41.94;16.65;19.6
04/11/2022;9.48;-;12.42;910.6;43.75;15.96;17.89
05/11/2022;12.23;-;10.46;1006.77;40.15;18.08;16.98
06/11/2022;6.59;-;-;-;-;-;14.98
07/11/2022;10.06;-;-;-;-;-;15.71
08/11/2022;15.61;-;25.39;2312.71;26.36;22.5;8.86
09/11/2022;23.38;-;28.97;2087,00;17.87;17.79;11.27
10/11/2022;21.57;-;21.25;1226.04;27.57;14.14;8.96
11/11/2022;11.27;-;16.27;1365.62;25.69;16.73;8.38
12/11/2022;14.4;-;17.69;1459.18;24.91;17.78;13.09
13/11/2022;16.1;-;30.8;2389.87;23.07;19.17;19.17
14/11/2022;18.64;-;30.64;2157.72;22.6;18.52;13.92
15/11/2022;16.15;-;13.06;1385.23;19.71;18.13;10,00
16/11/2022;14.54;-;27.15;2057.4;23.29;20.81;22.5
17/11/2022;22.52;-;24.48;1799.06;20.33;20.12;17.55
18/11/2022;11.17;-;19.96;1548.43;19.52;20.48;14.78
19/11/2022;9.17;-;11,00;773.33;35.17;19.58;21.82
20/11/2022;8,00;-;12.75;705.72;37.72;14.41;8.7
21/11/2022;9.92;-;10.13;858.54;23.35;13.33;12.11
22/11/2022;9.17;-;12.73;825.06;21.73;11.31;15.83
23/11/2022;12.35;-;21.4;1338.33;20.73;11.73;23.5
24/11/2022;10.35;-;22.98;1287.46;22.67;12.02;23.33
25/11/2022;16.79;15.18;34.73;1297.27;43.32;17.39;27.58
26/11/2022;18.24;20.53;58.06;1395.74;60.09;15.6;56.21
27/11/2022;5.96;6.89;30.53;475.79;45.06;34.87;16.6
28/11/2022;9.17;10.4;30.08;1345.92;45.98;49.52;8.25
29/11/2022;10.75;12.58;25.52;1229.21;45.13;44.94;4.72
30/11/2022;5.29;6.23;28.25;1842.57;42.44;43.81;22.35
01/12/2022;11.06;12.83;33,00;1927.73;46.29;44.48;18.94
02/12/2022;13.48;15.23;29.08;1676.29;50.98;46.15;15.71
03/12/2022;11.4;12.92;29.38;1676.44;48.63;46.33;16.85
04/12/2022;16.88;18.81;34.9;2173.44;44.27;47.25;23.27
05/12/2022;15.42;17.1;26.25;1818.48;32.38;49.58;22.63
06/12/2022;24.54;26.88;34.96;2480.48;47.69;54.92;28.17
07/12/2022;20.56;22.6;33.27;2274.54;56.88;55.29;25.69
08/12/2022;23.02;24.73;26.46;1951.58;69.83;58.56;18.88
09/12/2022;17.92;20.02;25.08;1752.25;64.48;56.71;13.98
10/12/2022;16.48;18.65;27.85;1822.42;56.54;53.5;13.88
11/12/2022;12.48;13.9;18.13;1186.85;55,00;53.42;9.63
12/12/2022;12.52;13.88;10.23;856.25;25.81;49.23;7.65
13/12/2022;11.27;12.6;18.81;1452.83;53.73;52.96;12.04
14/12/2022;15.25;16.96;23.96;1939.54;54.48;54.58;17.98
15/12/2022;11.98;14.42;23.19;1688.08;55.1;54.19;16.79
16/12/2022;12.21;14.13;28.46;1918.94;51.98;53.44;17.69
17/12/2022;13.38;15.13;24.85;1634.08;54.4;51.71;14.83
18/12/2022;15.4;17.38;23.71;1596.48;55.73;50.23;12.92
19/12/2022;20.73;22.92;25.08;1749.96;51.31;51,00;14.25
20/12/2022;17.35;19.46;22.54;1507.24;58.33;53.59;11.59
21/12/2022;11.55;13.28;24.72;1450.34;92.38;63.59;2.24
22/12/2022;7.75;8.96;16.56;1200.19;60.15;60.06;10.49
23/12/2022;6.77;7.94;13.83;1096.33;52.67;61.08;10.33
24/12/2022;17.67;19.52;17.15;1547.42;63.73;67.44;13.21
25/12/2022;16.06;17.83;19.19;1720.54;55.08;65.35;15.96
26/12/2022;15.25;16.98;16.98;1486.48;36.35;59.67;19.88
27/12/2022;13.35;15.54;27.46;2084.79;32.21;58.48;35.98
28/12/2022;12.03;13.82;17.71;1329.35;13.91;57,00;28.18
29/12/2022;19.24;22.24;27.53;1915.24;-;64.88;11.18
30/12/2022;29.94;32.73;25.1;1673.52;15.7;66.85;15.4
31/12/2022;22.6;25.48;14.65;1177.21;18.96;63.71;12.92
